SampleID Num_reads Num_R1 Num_R2 Num_Paired Num_MateMapped Num_Singletons Num_MateMappedDiffChr Coverage_depth
2022_36_H	3148991	1573658	1575333	2096278	2894978	54177	773394	2.73819
2022_36_I	2568063	1283061	1285002	1704132	2363808	47130	639448	2.63621
2022_37_F	2725432	1361695	1363737	1818448	2507642	53205	666706	2.69969
2022_40_H	2642780	1320862	1321918	1800794	2448558	45342	627660	2.70354
2022_51_M	2521790	1260208	1261582	1712264	2336010	43187	605564	2.65332
2022_52_N	2437848	1217638	1220210	1658546	2260956	42834	586162	2.60894
2022_53_L	2431212	1214610	1216602	1614724	2250578	42928	618002	2.54338
2022_53_O	2349309	1174077	1175232	1604804	2185140	40169	564916	2.57113
